epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.9945,1.17543,3.94899,1.28339,0.00316,0.94737,0.08027,0.06133,0.86035,4.15976,1.08025,8e-05,8e-05,8e-05
2,83.178,0.9664,3.56321,1.018,0.00333,1,0.20693,0.16088,0.84479,3.7438,0.83004,0.000178218,0.000178218,0.000178218
3,120.52,0.91054,3.19594,0.94274,0.00333,1,0.80777,0.52485,0.84729,3.717,0.79132,0.000274456,0.000274456,0.000274456
4,158.533,1.00674,2.65981,0.92957,0.00333,1,0.97525,0.67957,0.74068,3.63549,0.78737,0.000368714,0.000368714,0.000368714
5,197.302,0.95038,2.32121,0.88871,0.00333,1,0.95659,0.61921,0.83751,3.71683,0.81181,0.000460992,0.000460992,0.000460992
6,234.698,0.92278,1.9135,0.89606,0.00333,1,0.93285,0.69593,0.86788,3.60414,0.82383,0.00055129,0.00055129,0.00055129
7,271.99,0.91709,1.48821,0.88727,0.00333,1,0.60847,0.45716,0.8179,3.7521,0.88676,0.000639608,0.000639608,0.000639608
8,309.427,0.90369,1.6422,0.91209,0.00333,1,0.37078,0.28941,0.75557,3.79699,0.90968,0.000725946,0.000725946,0.000725946
9,346.659,0.89113,1.60021,0.94806,0.00333,1,0.22262,0.14572,0.81852,3.74979,0.89438,0.000810304,0.000810304,0.000810304
10,383.409,0.86132,1.61908,0.92021,0.00333,1,0.32166,0.24339,0.73661,3.69099,0.86997,0.000892682,0.000892682,0.000892682
11,421.474,0.89314,1.41218,0.9069,0.00333,1,0.15042,0.11324,0.75884,3.72274,0.91713,0.00097308,0.00097308,0.00097308
12,461.107,0.79864,1.42165,0.93601,0.00333,1,0.13266,0.08623,0.77765,3.694,0.9397,0.0010515,0.0010515,0.0010515
13,501.036,0.82364,1.35485,0.93547,0.00479,0.80749,0.19062,0.12138,0.81352,3.61546,0.94277,0.00112794,0.00112794,0.00112794
14,539.973,0.88254,1.48453,0.97326,0.14411,0.42105,0.3035,0.2122,0.82846,3.59887,0.92624,0.00120239,0.00120239,0.00120239
15,578.586,0.84494,1.3834,0.93266,1,0.10235,0.34667,0.22108,0.86019,3.5603,0.96281,0.00127487,0.00127487,0.00127487
16,618.172,0.85131,1.2158,0.95052,1,0.15146,0.6155,0.43401,0.88129,3.31558,0.9314,0.00134537,0.00134537,0.00134537
17,656.407,0.90147,1.24348,0.95587,1,0.22651,0.76698,0.53303,0.91834,3.19896,0.96909,0.00141389,0.00141389,0.00141389
18,695.289,0.84589,1.27679,0.94625,0.89681,0.26316,0.80299,0.59278,0.9854,3.11726,0.98712,0.00148043,0.00148043,0.00148043
19,732.966,0.78007,1.1065,0.93729,1,0.44038,0.84191,0.59933,0.96013,2.92422,0.97851,0.00154498,0.00154498,0.00154498
20,771.535,0.89322,1.21558,0.93656,0.94225,0.63158,0.93999,0.618,1.00499,2.66805,1.09437,0.00160756,0.00160756,0.00160756
21,809.839,0.92956,1.15508,1.00651,0.97799,0.63158,0.93783,0.63896,1.00748,2.79012,1.06571,0.001604,0.001604,0.001604
22,848.122,0.84795,1.13616,0.92075,0.91741,0.58505,0.94443,0.67291,1.03578,2.80634,1.02822,0.0015842,0.0015842,0.0015842
23,886.52,0.87204,1.08776,0.9744,0.87571,0.74194,0.93333,0.67364,0.96922,2.66066,1.01469,0.0015644,0.0015644,0.0015644
24,924.795,0.8605,1.07656,0.95456,0.61499,0.75717,0.74723,0.50973,0.95176,2.47511,1.00887,0.0015446,0.0015446,0.0015446
25,963.016,0.82631,1.05477,0.96683,0.74798,0.78947,0.85126,0.61494,0.89947,2.34997,1.00813,0.0015248,0.0015248,0.0015248
26,1001.38,0.80952,1.11283,0.9217,0.81192,0.90928,0.93401,0.6502,0.99723,2.17711,1.04179,0.001505,0.001505,0.001505
27,1039.58,0.76696,0.93116,0.90844,0.90027,0.95036,0.98761,0.70578,0.9401,1.8373,1.0305,0.0014852,0.0014852,0.0014852
28,1077.91,0.83877,1.04616,0.93954,1,0.98199,0.995,0.71507,0.8819,1.57456,1.02362,0.0014654,0.0014654,0.0014654
29,1116.36,0.75692,1.02308,0.92121,0.92979,0.89474,0.98318,0.68983,1.01605,1.89536,1.08706,0.0014456,0.0014456,0.0014456
30,1154.91,0.83133,0.95966,0.92952,0.86778,0.78947,0.92433,0.65709,1.01284,2.18931,1.04951,0.0014258,0.0014258,0.0014258
31,1193.29,0.81207,0.97634,0.93995,0.81123,0.67887,0.78318,0.53512,1.02452,2.42922,1.05416,0.001406,0.001406,0.001406
32,1231.89,0.7846,0.93607,0.90728,0.97839,0.84211,0.93636,0.61975,1.09671,2.06589,1.02902,0.0013862,0.0013862,0.0013862
33,1270.24,0.7786,0.92383,0.94135,0.94647,0.93126,0.98037,0.72742,1.02031,1.74508,0.98306,0.0013664,0.0013664,0.0013664
34,1309.04,0.76287,0.9162,0.92518,1,0.99364,0.995,0.76931,0.93511,1.39427,0.97794,0.0013466,0.0013466,0.0013466
35,1347.74,0.71588,0.90071,0.92072,1,0.99346,0.995,0.7834,0.87425,1.29419,0.96008,0.0013268,0.0013268,0.0013268
36,1386.13,0.71812,0.87074,0.89779,0.99358,1,0.995,0.79239,0.81686,1.25834,0.9735,0.001307,0.001307,0.001307
37,1424.67,0.71157,0.88908,0.89331,0.99781,1,0.995,0.78292,0.81291,1.16456,0.9541,0.0012872,0.0012872,0.0012872
38,1463.3,0.70256,0.84752,0.91643,0.99661,1,0.995,0.77912,0.83192,1.08561,0.97741,0.0012674,0.0012674,0.0012674
39,1501.68,0.69938,0.81112,0.90686,0.99559,1,0.995,0.79668,0.76054,1.04675,0.97569,0.0012476,0.0012476,0.0012476
40,1540.22,0.63381,0.74854,0.87567,0.99638,1,0.995,0.72084,0.87384,1.02311,0.95656,0.0012278,0.0012278,0.0012278
41,1578.9,0.6815,0.80227,0.91403,0.99731,1,0.995,0.73735,0.88247,1.04436,0.95407,0.001208,0.001208,0.001208
42,1617.38,0.71933,0.77208,0.92682,1,0.99258,0.995,0.76508,0.83824,1.0058,0.94014,0.0011882,0.0011882,0.0011882
43,1655.88,0.66088,0.7625,0.92618,0.99255,1,0.995,0.78595,0.83549,0.91257,0.94953,0.0011684,0.0011684,0.0011684
44,1694.39,0.66976,0.76636,0.9326,0.9818,1,0.995,0.75023,0.88783,0.91369,1.00029,0.0011486,0.0011486,0.0011486
45,1733.06,0.64579,0.7265,0.90471,0.94688,1,0.99,0.78759,0.8287,0.89495,0.95503,0.0011288,0.0011288,0.0011288
46,1771.61,0.60733,0.6644,0.88129,0.94708,1,0.9925,0.7832,0.83739,0.90891,0.95073,0.001109,0.001109,0.001109
47,1810.34,0.59024,0.66513,0.87289,1,0.97837,0.995,0.76474,0.88289,0.89211,0.97481,0.0010892,0.0010892,0.0010892
48,1849.37,0.6172,0.69733,0.9056,0.99608,1,0.995,0.76739,0.8437,0.80932,0.97259,0.0010694,0.0010694,0.0010694
49,1888.02,0.60515,0.63816,0.87019,0.99625,1,0.995,0.80215,0.82024,0.81906,0.96925,0.0010496,0.0010496,0.0010496
50,1926.56,0.59736,0.6509,0.87521,0.99656,1,0.995,0.79391,0.83015,0.83573,0.97373,0.0010298,0.0010298,0.0010298
51,1965.25,0.59067,0.63055,0.8846,0.99663,1,0.995,0.76973,0.83738,0.80139,0.96882,0.00101,0.00101,0.00101
52,2003.92,0.61166,0.67886,0.87376,0.99711,1,0.995,0.77758,0.87945,0.8042,0.97055,0.0009902,0.0009902,0.0009902
53,2042.15,0.54127,0.62022,0.86193,0.99707,1,0.995,0.77003,0.84706,0.78369,0.96344,0.0009704,0.0009704,0.0009704
54,2080.7,0.57066,0.66369,0.86763,0.99675,1,0.995,0.7697,0.82172,0.74724,0.96033,0.0009506,0.0009506,0.0009506
55,2119.34,0.57008,0.63868,0.88048,0.997,1,0.995,0.77171,0.82097,0.72873,0.96033,0.0009308,0.0009308,0.0009308
56,2157.63,0.62732,0.63763,0.86574,0.99704,1,0.995,0.74206,0.89478,0.71507,0.99006,0.000911,0.000911,0.000911
57,2195.9,0.60548,0.6154,0.86761,0.99671,1,0.995,0.7668,0.86448,0.71928,0.97172,0.0008912,0.0008912,0.0008912
58,2234.37,0.57313,0.60415,0.87986,0.99664,1,0.995,0.76532,0.86754,0.72197,0.9779,0.0008714,0.0008714,0.0008714
59,2273.11,0.55275,0.59054,0.86284,0.99692,1,0.995,0.77307,0.85533,0.74468,0.97394,0.0008516,0.0008516,0.0008516
60,2311.64,0.56498,0.61989,0.87572,0.9971,1,0.995,0.77355,0.83275,0.69649,0.96787,0.0008318,0.0008318,0.0008318
61,2350.4,0.53775,0.58182,0.86963,0.99691,1,0.995,0.78726,0.80934,0.67539,0.94184,0.000812,0.000812,0.000812
62,2388.97,0.52292,0.57163,0.86051,0.99672,1,0.995,0.80181,0.81286,0.66621,0.93484,0.0007922,0.0007922,0.0007922
63,2427.7,0.53339,0.57437,0.87373,0.99656,1,0.995,0.79208,0.81631,0.68596,0.93653,0.0007724,0.0007724,0.0007724
64,2466.1,0.57818,0.59433,0.87693,0.99701,1,0.995,0.7771,0.80225,0.67114,0.93676,0.0007526,0.0007526,0.0007526
65,2504.74,0.52825,0.55586,0.85806,0.99677,1,0.995,0.77535,0.79686,0.66011,0.93131,0.0007328,0.0007328,0.0007328
66,2543.43,0.50801,0.55893,0.85604,0.99622,1,0.995,0.79915,0.78826,0.65174,0.92742,0.000713,0.000713,0.000713
67,2581.99,0.5274,0.53867,0.86416,0.99599,1,0.995,0.79629,0.81,0.64269,0.9351,0.0006932,0.0006932,0.0006932
68,2620.66,0.51996,0.55884,0.84949,0.99659,1,0.995,0.78972,0.78763,0.61198,0.9478,0.0006734,0.0006734,0.0006734
69,2658.98,0.48405,0.53206,0.87451,0.99669,1,0.995,0.80761,0.77837,0.59776,0.94545,0.0006536,0.0006536,0.0006536
70,2697.74,0.49777,0.52639,0.84948,0.99682,1,0.995,0.81616,0.76255,0.59514,0.93338,0.0006338,0.0006338,0.0006338
71,2736.09,0.53799,0.53613,0.84976,0.99714,1,0.995,0.7901,0.7993,0.60549,0.94602,0.000614,0.000614,0.000614
72,2774.54,0.52758,0.55354,0.86999,0.99713,1,0.995,0.77878,0.81307,0.61047,0.96461,0.0005942,0.0005942,0.0005942
73,2812.9,0.53966,0.5392,0.85177,0.99648,1,0.995,0.79235,0.78945,0.62526,0.95506,0.0005744,0.0005744,0.0005744
74,2851.25,0.50263,0.50651,0.85617,0.99523,1,0.995,0.80185,0.78211,0.62265,0.95256,0.0005546,0.0005546,0.0005546
75,2889.83,0.50234,0.51517,0.85313,0.99402,1,0.995,0.80346,0.77707,0.60249,0.94797,0.0005348,0.0005348,0.0005348
76,2928.4,0.49872,0.49913,0.86908,0.99451,1,0.995,0.76594,0.82555,0.61205,0.96819,0.000515,0.000515,0.000515
77,2967.54,0.4839,0.52076,0.85557,0.99426,1,0.995,0.78681,0.82206,0.59725,0.96912,0.0004952,0.0004952,0.0004952
78,3005.91,0.45683,0.47597,0.8393,0.99439,1,0.995,0.79307,0.78448,0.58744,0.95171,0.0004754,0.0004754,0.0004754
79,3044.93,0.45958,0.50546,0.83459,0.99456,1,0.995,0.80544,0.74188,0.58372,0.9406,0.0004556,0.0004556,0.0004556
80,3083.82,0.41207,0.46926,0.83597,0.9959,1,0.995,0.81701,0.77222,0.58201,0.94896,0.0004358,0.0004358,0.0004358
81,3122.61,0.45179,0.4759,0.84105,0.99629,1,0.995,0.80912,0.79366,0.56611,0.95751,0.000416,0.000416,0.000416
82,3161.08,0.55788,0.53768,0.87573,0.99642,1,0.995,0.78873,0.83623,0.55946,0.97245,0.0003962,0.0003962,0.0003962
83,3199.55,0.48721,0.5109,0.85052,0.99632,1,0.995,0.77201,0.84327,0.55867,0.97261,0.0003764,0.0003764,0.0003764
84,3237.94,0.45243,0.48141,0.81673,0.99578,1,0.995,0.79143,0.80208,0.56813,0.95934,0.0003566,0.0003566,0.0003566
85,3276.36,0.43979,0.48101,0.85002,0.99516,1,0.995,0.80456,0.7762,0.56706,0.94805,0.0003368,0.0003368,0.0003368
86,3314.45,0.45582,0.478,0.80866,0.99476,1,0.995,0.80678,0.77053,0.56887,0.94449,0.000317,0.000317,0.000317
87,3352.8,0.45384,0.47784,0.85406,0.99457,1,0.995,0.80222,0.77835,0.56288,0.94611,0.0002972,0.0002972,0.0002972
88,3391.12,0.44771,0.48666,0.84694,0.99359,1,0.995,0.79284,0.81236,0.55978,0.96089,0.0002774,0.0002774,0.0002774
89,3429.57,0.40754,0.457,0.83181,0.99341,1,0.995,0.78542,0.82334,0.56352,0.96484,0.0002576,0.0002576,0.0002576
90,3466.24,0.43647,0.44992,0.8303,0.99296,1,0.995,0.77945,0.82026,0.56244,0.96252,0.0002378,0.0002378,0.0002378
91,3505.06,0.39748,0.5402,0.83078,0.9922,1,0.995,0.77971,0.80165,0.56284,0.9574,0.000218,0.000218,0.000218
92,3543.46,0.38777,0.5232,0.80562,0.99078,1,0.995,0.78029,0.79414,0.57528,0.95566,0.0001982,0.0001982,0.0001982
93,3581.67,0.35909,0.50468,0.7912,0.99151,1,0.995,0.77669,0.80136,0.57207,0.96218,0.0001784,0.0001784,0.0001784
94,3619.74,0.3826,0.50874,0.80049,0.99306,1,0.995,0.77791,0.80583,0.56815,0.96551,0.0001586,0.0001586,0.0001586
95,3657.75,0.40333,0.53568,0.83567,0.99439,1,0.995,0.77402,0.80414,0.56007,0.96392,0.0001388,0.0001388,0.0001388
96,3695.88,0.38655,0.50608,0.81316,0.99535,1,0.995,0.77779,0.789,0.54872,0.95508,0.000119,0.000119,0.000119
97,3734.14,0.37968,0.50553,0.82845,0.99557,1,0.995,0.78637,0.78243,0.54352,0.95185,9.92e-05,9.92e-05,9.92e-05
98,3772.36,0.36717,0.51443,0.80745,0.99586,1,0.995,0.78581,0.77765,0.53961,0.95034,7.94e-05,7.94e-05,7.94e-05
99,3810.55,0.33135,0.47784,0.79412,0.99592,1,0.995,0.78398,0.77734,0.53631,0.95143,5.96e-05,5.96e-05,5.96e-05
100,3850.37,0.3504,0.48649,0.81812,0.99592,1,0.995,0.78448,0.78668,0.53146,0.95514,3.98e-05,3.98e-05,3.98e-05
